Change Physical Footprint: Designator=LDR Old Footprint=NSL-4962 New Footprint=NSL-4962
Change Physical Footprint: Designator=P1 Old Footprint=BORNIER New Footprint=BORNIER
Change Physical Footprint: Designator=P2 Old Footprint=BORNIER New Footprint=BORNIER
Change Physical Footprint: Designator=P3 Old Footprint=BORNIER New Footprint=BORNIER
Change Physical Footprint: Designator=P4 Old Footprint=BORNIER New Footprint=BORNIER
Change Physical Footprint: Designator=P5 Old Footprint=BORNIER New Footprint=BORNIER
Change Physical Footprint: Designator=P6 Old Footprint=BORNIER New Footprint=BORNIER
Change Physical Footprint: Designator=P7 Old Footprint=BORNIER New Footprint=BORNIER
Change Physical Footprint: Designator=R1 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R2 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R3 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R4 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R5 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R6 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R7 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R8 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R9 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R10 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R11 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R12 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R13 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R14 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R15 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R16 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R17 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R18 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R19 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R20 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R21 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R22 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R23 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R24 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R25 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R26 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R27 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R28 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R29 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R30 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R31 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R32 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R33 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R34 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R35 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R36 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R37 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R38 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R39 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R40 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R41 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R42 Old Footprint=R0603 New Footprint=R0603
Change Physical Footprint: Designator=R43 Old Footprint=R0603 New Footprint=R0603
